Date,HIGH,LOW,OPEN,CLOSE,VOLUME
2012-12-09 00:00:00,,,,6.38,
2012-12-10 00:00:00,7,7,7,7.07,25
2012-12-11 00:00:00,,,,6.84,
2012-12-12 00:00:00,6.78,6.78,6.78,6.75,4
2012-12-13 00:00:00,6.59,6.59,6.59,6.67,2
2012-12-14 00:00:00,,,,6.57,
2012-12-16 00:00:00,,,,6.57,
2012-12-17 00:00:00,,,,6.47,
2012-12-18 00:00:00,6.56,6.56,6.56,6.75,3
2012-12-19 00:00:00,7.01,7.01,7.01,7.03,5
2012-12-20 00:00:00,7.03,6.98,6.98,7.17,20
2012-12-21 00:00:00,,,,7,
2012-12-23 00:00:00,,,,7,
2012-12-24 00:00:00,,,,6.91,
2012-12-26 00:00:00,,,,6.91,
2012-12-27 00:00:00,,,,6.83,
2012-12-28 00:00:00,,,,6.49,
2012-12-30 00:00:00,,,,6.49,
2012-12-31 00:00:00,,,,6.44,
2013-01-02 00:00:00,6.48,6.44,6.48,6.37,5
2013-01-03 00:00:00,6.15,6.15,6.15,6.2,6
2013-01-04 00:00:00,,,,6.14,
2013-01-07 00:00:00,,,,6.46,
2013-01-08 00:00:00,,,,6.27,
2013-01-09 00:00:00,6.04,6.04,6.04,6.02,1
2013-01-10 00:00:00,5.94,5.94,5.94,5.86,3
2013-01-11 00:00:00,,,,5.72,
2013-01-14 00:00:00,5.7,5.7,5.7,5.71,35
2013-01-15 00:00:00,,,,5.88,
2013-01-16 00:00:00,,,,5.47,
2013-01-17 00:00:00,,,,5.44,
2013-01-18 00:00:00,,,,4.97,200
2013-01-21 00:00:00,4.79,4.74,4.74,4.81,11
2013-01-22 00:00:00,,,,5.3,
2013-01-23 00:00:00,5.01,4.9,5,4.52,40
2013-01-24 00:00:00,4.25,4.1,4.1,4.21,4
2013-01-25 00:00:00,,,,4,
2013-01-28 00:00:00,,,,4.07,
2013-01-29 00:00:00,,,,3.88,
2013-01-30 00:00:00,3.84,3.82,3.84,3.69,14
2013-01-31 00:00:00,3.45,3.45,3.45,3.32,3
2013-02-01 00:00:00,4.22,3.4,3.41,4.22,115
2013-02-04 00:00:00,4.25,4.2,4.25,4.2,6
2013-02-05 00:00:00,4.24,4.24,4.24,4.29,3
2013-02-06 00:00:00,4.54,4.02,4.54,4.06,13
2013-02-07 00:00:00,4.18,4.17,4.18,4.09,33
2013-02-08 00:00:00,4.45,4.37,4.37,4.43,7
2013-02-11 00:00:00,4.34,4.25,4.25,4.36,47
2013-02-12 00:00:00,4.55,4.47,4.55,4.46,10
2013-02-13 00:00:00,5.08,4.6,4.6,5.1,54
2013-02-14 00:00:00,5.26,5.05,5.11,5.12,257
2013-02-15 00:00:00,5.11,5.03,5.08,5.06,158
2013-02-18 00:00:00,5.34,4.97,5.34,4.99,49
2013-02-19 00:00:00,4.74,4.13,4.7,4.56,92
2013-02-20 00:00:00,4.86,4.66,4.7,4.86,41
2013-02-21 00:00:00,5.09,4.75,4.75,5.17,185
2013-02-22 00:00:00,5.15,5.04,5.04,5.06,2
2013-02-25 00:00:00,,,,4.46,
2013-02-26 00:00:00,,,,4.2,
2013-02-27 00:00:00,4.37,4.27,4.27,4.37,100
2013-02-28 00:00:00,4.86,4.35,4.35,4.8,407
2013-03-01 00:00:00,4.79,4.64,4.75,4.56,183
2013-03-04 00:00:00,4.61,4.56,4.61,4.53,4
2013-03-05 00:00:00,4.49,4.38,4.44,4.14,33
2013-03-06 00:00:00,4.35,4.22,4.35,4.19,119
2013-03-07 00:00:00,4.2,4.12,4.14,4.22,59
2013-03-08 00:00:00,4.12,4.06,4.06,4.18,204
2013-03-11 00:00:00,4.05,3.88,4.05,3.88,188
2013-03-12 00:00:00,3.85,3.67,3.85,3.66,420
2013-03-13 00:00:00,3.67,3.4,3.67,3.45,682
2013-03-14 00:00:00,4.1,3.41,3.43,3.62,605
2013-03-15 00:00:00,3.73,3.56,3.56,3.7,1831
2013-03-18 00:00:00,3.54,3.54,3.54,3.48,56
2013-03-19 00:00:00,3.4,3.36,3.4,3.44,59
2013-03-20 00:00:00,3.64,3.64,3.64,3.9,165
2013-03-21 00:00:00,4.45,4.05,4.05,4.35,303
2013-03-22 00:00:00,4.41,4.16,4.41,4.08,82
2013-03-25 00:00:00,4.4,4.4,4.4,4.42,1
2013-03-26 00:00:00,4.64,4.48,4.64,4.55,307
2013-03-27 00:00:00,4.92,4.81,4.81,4.88,264
2013-03-28 00:00:00,4.89,4.84,4.84,4.74,458
2013-04-01 00:00:00,,,,4.74,
2013-04-02 00:00:00,,,,4.87,125
2013-04-03 00:00:00,4.91,4.91,4.91,4.85,1
2013-04-04 00:00:00,4.98,4.92,4.98,4.96,53
2013-04-05 00:00:00,,,,5.11,750
2013-04-08 00:00:00,5.04,5.04,5.04,5.12,2
2013-04-09 00:00:00,5.04,4.65,5.04,4.71,181
2013-04-10 00:00:00,4.79,4.3,4.68,4.23,1270
2013-04-11 00:00:00,4.3,4.2,4.3,4.28,1137
2013-04-12 00:00:00,4.52,4.52,4.52,4.7,309
2013-04-15 00:00:00,4.8,4.68,4.8,4.68,4
2013-04-16 00:00:00,4.67,3,4.67,3.04,40941
2013-04-17 00:00:00,2.96,2.41,2.96,2.7,938
